sensor_index,date_created,private,name,icon,location_type,model,hardware,latitude,longitude
104714,1619044442,0,Luther,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.930576,-121.061966
104718,1619044500,0,San Francisco,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.77786,-122.40803
104724,1619044520,0,Cannon Hill,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,47.636623,-117.42588
104726,1619044534,0,Collins Lake,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.34209,-121.33178
104732,1619044556,0,Down By the River (Outside),0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.519222,-119.99625
104738,1619044758,0,Peotone,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,41.33366,-87.789
104742,1619044786,0,Center For Environmental Transformation,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.92167,-75.12073
104744,1619044800,0,Bigwood,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,43.697624,-114.36654
104752,1619044981,0,PL Fisheries Maintenance Building,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.950935,-119.59955
104756,1619045099,0,Nowach Ct Outdoors,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.290203,-120.26895
104758,1619045119,0,PL Natural Resources,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.83176,-119.35676
104762,1619045184,0,Stratford CTDEEP,0,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,41.151875,-73.10333
104774,1619119708,0,GIECC_UCMEXUS_01,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,25.650698,-100.29097
104778,1619119719,0,GIECC_UCMEXUS_12,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,25.653612,-100.292534
104784,1619119773,0,GIECC_UCMEXUS_10,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,25.653612,-100.292534
104790,1619119795,0,Oxon Hill HS,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,38.79698,-76.99376
104806,1619120018,0,GIECC_UCMEXUS_08,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,25.650698,-100.29097
104812,1619122973,0,"7940 Freehollow Dr, FC, VA",0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,38.85688,-77.21795
104816,1619122987,0,Bridgeport CTDEEP,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,41.170834,-73.19478
104822,1619123016,0,"Trowbridge Ln SW, Vienna, VA 22180",0,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,38.88233,-77.26259
104830,1619123040,0,MORPC_28,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,39.957497,-82.96899
104834,1619123049,0,"4608 3oth Rd South, Arlington VA 22206",0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,38.83854,-77.09639
104846,1619123068,0,Westport CTDEEP,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,41.118023,-73.336685
104848,1619123077,0,Saunders outside,0,0,PA-II-SD,2.0+OPENLOG+8053 MB+DS3231+BME280+PMSX003-B+PMSX003-A,37.224808,-80.424324
104850,1619123079,0,MORPC_40,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,40.111164,-83.0654
104852,1619123089,0,Caughlin Ranch Rd,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.493603,-119.86693
104854,1619123103,0,Southwest Whitefish,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,48.403835,-114.34342
104856,1619123740,0,Sandhill Circle,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.423676,-122.219154
104858,1619123745,0,MFV,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,38.338387,-122.35073
104860,1619123750,0,Willow Witt Ranch,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,42.280758,-122.57075
104862,1619123809,0,Purple Helmut,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.137035,-120.159386
104864,1619124385,0,Southwest Bozeman,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,45.652084,-111.12475
